"","id","date","country","hazard_type","hazard_subtype","trigger","trigger_name","fatalities","injuries","source_name","source_link","location_description","location_accuracy","hazard_size","distance","population","countrycode","continentcode","tstamp","latitude","longitude","magnitude","tsunami_ind","damage_range","houses_damaged"
"1523",1520,2010-02-23,"Indonesia","landslide","Landslide","Downpour","",44,NA,"","http://www.nytimes.com/reuters/2010/02/24/world/international-uk-indonesia-landslide.html?_r=1","",10,"Very_large",10.12326,150932,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-7.113,107.4737,NA,NA,NA,NA
"1524",1521,2010-02-23,"India","landslide","Landslide","Downpour","",2,NA,"","http://www.ptinews.com/news/532955_Two-kids-killed-in-house-collapse","",25,"Medium",2.92958,27611,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",30.383,78.5094,NA,NA,NA,NA
"1525",1522,2010-02-24,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.mercurynews.com/breaking-news/ci_14462173?nclick_check=1","",5,"Small",6.56885,9644,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",37.0456,-121.9396,NA,NA,NA,NA
"1526",1523,2010-02-25,"Romania","landslide","Landslide","Rain","",0,NA,"","http://www.financiarul.ro/2010/03/02/pm-boc-tours-landslide-stricken-odaile/","",NA,"Medium",2.14609,1080,"RO","EU","Thu Sep 11 2014 19:45:46 GMT+0000 (UTC)",45.385,26.5227,NA,NA,NA,NA
"1527",1524,2010-02-25,"United Kingdom","landslide","Landslide","Rain","",0,NA,"","http://www.mearnsleader.co.uk/news/LOOTERS-STRIKE-AT-LANDSLIDE-COTTAGE.6166678.jp","",1,"Medium",0.84685,9592,"GB","EU","Thu Sep 11 2014 19:43:30 GMT+0000 (UTC)",56.9577,-2.2031,NA,NA,NA,NA
"1528",1525,2010-02-25,"United States","landslide","Complex","Rain","",0,NA,"","http://www.kesq.com/Global/story.asp?S=12044433","",5,"Small",2.18534,29603,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.9062,-116.8721,NA,NA,NA,NA
"1529",1526,2010-02-26,"India","landslide","Landslide","Downpour","",2,NA,"","http://www.ptinews.com/news/540115_Two-die-in-landslide-near-Vaishno-Devi-cave-shrine","",5,"Medium",2.14292,9106,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.0097,74.9402,NA,NA,NA,NA
"1530",1527,2010-02-26,"Pakistan","landslide","Landslide","Rain","",5,NA,"","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/provinces/04-shangla-landslide-qs-02","",50,"Medium",2.27173,0,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",34.9033,72.6459,NA,NA,NA,NA
"1531",1528,2010-02-26,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.kionrightnow.com/Global/story.asp?S=12054089","",1,"Small",4.30516,3024,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",36.8607,-121.687,NA,NA,NA,NA
"1532",1529,2010-02-26,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.kionrightnow.com/Global/story.asp?S=12054089","",1,"Small",4.19907,1565,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",36.8324,-121.6945,NA,NA,NA,NA
"1533",1530,2010-02-27,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.sanluisobispo.com/2010/02/27/1047511/heavy-rains-trigger-cambria-landslide.html","",1,"Small",2.16549,6032,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",35.5662,-121.1045,NA,NA,NA,NA
"1534",1531,2010-02-27,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.pe.com/localnews/inland/stories/PE_News_Local_N_calstorm28.48ad910.html","",1,"Small",1.18379,209924,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",34.1102,-117.3024,NA,NA,NA,NA
"1535",1532,2010-02-27,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.fresnobee.com/2010/02/27/1840212/nearly-an-inch-of-rain-dropped.html","",10,"Small",16.85246,6767,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",36.127,-118.8093,NA,NA,NA,NA
"1536",1533,2010-02-27,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.fresnobee.com/2010/02/27/1840212/nearly-an-inch-of-rain-dropped.html","",NA,"Small",2.96507,1439,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",35.9816,-119.9601,NA,NA,NA,NA
"1537",1534,2010-02-27,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.knx1070.com/No-Major-Problems--From-Latest-Big-Storm-to-Slam-S/6456269","",NA,"Small",3.84629,9310,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",34.0688,-117.8395,NA,NA,NA,NA
"1538",1535,2010-02-28,"Indonesia","landslide","Landslide","Downpour","",3,NA,"","http://www.thejakartapost.com/news/2010/03/01/landslide-kills-three-wonosobo.html","",5,"Medium",6.05969,92990,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-7.412,109.8852,NA,NA,NA,NA
"1539",1536,2010-02-28,"Peru","landslide","Mudslide","Downpour","",6,NA,"","http://www.necn.com/03/02/10/At-least-six-dead-after-floods-trigger-m/landing_nation.html?blockID=189337&feedID=4207","",1,"Medium",1.05576,0,"PE","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-15.2086,-72.8973,NA,NA,NA,NA
"1540",1537,2010-03-01,"Australia","landslide","Mudslide","Downpour","",0,NA,"","http://quest-news.whereilive.com.au/news/story/more-flash-floods-to-come/","",25,"Medium",4.38956,131258,"AU","OC","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-27.5659,151.9979,NA,NA,NA,NA
"1541",1538,2010-03-01,"Uganda","landslide","Complex","Downpour","",388,NA,"","http://allafrica.com/stories/201003020769.html","",15,"Very_large",4.21079,0,"UG","AF","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",1.0053,34.4011,NA,NA,NA,NA
"1542",1539,2010-03-02,"Fiji","landslide","Landslide","Downpour","",0,NA,"","http://www.rnzi.com/pages/news.php?op=read&id=52214","",NA,"Small",45.59743,14596,"FJ","OC","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-17.8045,177.9985,NA,NA,NA,NA
"1543",1540,2010-03-04,"Uganda","landslide","Landslide","Downpour","",0,NA,"","http://www.monitor.co.ug/News/National/-/688334/873586/-/wj637g/-/","",25,"Medium",1.95362,43500,"UG","AF","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-1.2654,29.9846,NA,NA,NA,NA
"1544",1541,2010-03-04,"United Kingdom","landslide","Landslide","Downpour","",0,NA,"","http://www.scarborougheveningnews.co.uk/news/Scarborough39s-Filey-Road-is-sealed.6128174.jp","",1,"Medium",4.24362,38909,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",54.2467,-0.3717,NA,NA,NA,NA
"1545",1542,2010-03-05,"Uganda","landslide","Landslide","Downpour","",3,NA,"","http://www.sundayvision.co.ug/detail.php?mainNewsCategoryId=7&newsCategoryId=123&newsId=712151","",25,"Medium",13.27948,12400,"UG","AF","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-1.1667,29.6667,NA,NA,NA,NA
"1546",1543,2010-03-06,"Uganda","landslide","Landslide","Downpour","",0,NA,"","http://www.monitor.co.ug/News/National/-/688334/875412/-/wj7fv1/-/","",50,"Medium",25.30499,7914,"UG","AF","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",0.4056,29.9166,NA,NA,NA,NA
"1547",1544,2010-03-06,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.ksbw.com/news/22765153/detail.html","",5,"Small",41.40142,12874,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",36.0082,-121.5106,NA,NA,NA,NA
"1548",1545,2010-03-06,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.ksbw.com/news/22765153/detail.html","",5,"Small",42.60033,16330,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",36.0696,-121.602,NA,NA,NA,NA
"1549",1546,2010-03-07,"Portugal","landslide","Mudslide","Tropical_Cyclone","Storm Xynthia",2,NA,"","http://www.thestar.com/news/world/article/773603--sleeping-families-die-as-sea-walls-collapse-in-france","",NA,"Medium",27.49371,3705,"PT","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",38.6081,-28.0235,NA,NA,NA,NA
"1550",1547,2010-03-09,"Indonesia","landslide","Landslide","Downpour","",0,NA,"","http://www.antara.co.id/en/news/1268336077/deadly-landslide-hits-w-javas-cianjur","",1,"Medium",1.51766,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-7.0643,107.8832,NA,NA,NA,NA
"1551",1548,2010-03-10,"Georgia","landslide","Landslide","Downpour","",0,NA,"","http://www.geotimes.ge/index.php?m=home&newsid=20775","",5,"Medium",5.44306,426,"GE","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",42.3562,43.9063,NA,NA,NA,NA
"1552",1549,2010-03-10,"Georgia","landslide","Landslide","Downpour","",0,NA,"","http://www.geotimes.ge/index.php?m=home&newsid=20770","",5,"Medium",19.16932,10442,"GE","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",42.6309,42.8299,NA,NA,NA,NA
"1553",1550,2010-03-10,"Italy","landslide","Mudslide","Downpour","",0,NA,"","http://www.expatica.com/fr/news/french-rss-news/cargo-adrift,-airport-closed-in-italy-storms_29990.html","",5,"Medium",0.812,219948,"IT","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",38.1947,15.5406,NA,NA,NA,NA
"1554",1551,2010-03-11,"Indonesia","landslide","Landslide","Downpour","",10,NA,"","http://www.antara.co.id/en/news/1268336077/deadly-landslide-hits-w-javas-cianjur","",1,"Medium",2.36699,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-7.0549,107.1344,NA,NA,NA,NA
"1555",1552,2010-03-11,"Dominica","landslide","Landslide","Rain","",0,NA,"","http://stormcarib.com/reports/current/report.php?id=1268397271_8827","",5,"Medium",3.98646,702,"DM",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",15.3356,-61.3312,NA,NA,NA,NA
"1556",1553,2010-03-11,"Bolivia","landslide","Mudslide","Downpour","",7,NA,"","http://www.laht.com/article.asp?ArticleId=353654&CategoryId=14919","",50,"Medium",27.48449,2361,"BO","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-16.4158,-67.8317,NA,NA,NA,NA
"1557",1554,2010-03-11,"Croatia","landslide","Rockfall","Downpour","",0,2,"Croatian Times","https://web.archive.org/web/20101017232810/http://www.croatiantimes.com/news/General_News/2010-03-12/9554/Couple_injured_in_landslide","Above_road",NA,"Medium",1.29839,2169,"HR","EU","Mon Jan 11 2016 15:48:21 GMT+0000 (UTC)",43.4574,16.6114,NA,NA,NA,NA
"1558",1555,2010-03-11,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.thepittsburghchannel.com/allegheny/22812683/detail.html","",1,"Small",1.29986,305704,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",40.4319,-80.0061,NA,NA,NA,NA
"1559",1556,2010-03-11,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.thepittsburghchannel.com/allegheny/22812683/detail.html","",1,"Small",2.37904,5951,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",40.4327,-80.0383,NA,NA,NA,NA
"1560",1557,2010-03-11,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.startribune.com/local/87416017.html?elr=KArksi8cyaiUHK:uUiD3aPc:_Yyc:aU7DYaGEP7vDEh7P:DiUs","",1,"Small",3.90084,2133,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",45.3853,-92.6751,NA,NA,NA,NA
"1561",1558,2010-03-12,"Russia","landslide","Landslide","Rain","",0,NA,"","http://en.rian.ru/natural/20100313/158182544.html","",5,"Medium",0.26847,62689,"RU","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",42.8214,47.1188,NA,NA,NA,NA
"1562",1559,2010-03-12,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.seattlepi.com/local/6420ap_wa_railroad_mudslide_edmonds.html","",5,"Medium",3.28408,1307,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",47.7668,-122.387,NA,NA,NA,NA
"1563",1560,2010-03-12,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.kcby.com/news/local/87512322.html","",10,"Medium",8.46347,3866,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",43.2479,-124.2259,NA,NA,NA,NA
"1564",1561,2010-03-12,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.gazettetimes.com/news/local/article_85f1bb86-2db0-11df-a900-001cc4c002e0.html","",5,"Medium",4.07836,1894,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",45.0228,-123.8317,NA,NA,NA,NA
"1565",1562,2010-03-12,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.accuweather.com/blogs/news/story/26113/midatlantic-flooding-turns-dea.asp","",10,"Medium",0.02907,1260,"US",NA,"Thu Sep 11 2014 19:41:43 GMT+0000 (UTC)",38.2323,-81.5377,NA,NA,NA,NA
"1566",1563,2010-03-13,"Indonesia","landslide","Landslide","Downpour","",1,5,"Antara News","http://www.antara.co.id/en/news/1268568221/one-killed-in-w-sumatra-lembah-anai-landslide","",5,"Medium",6.4281,0,"ID","AS","Mon Sep 15 2014 19:02:37 GMT+0000 (UTC)",-0.4755,100.3508,NA,NA,NA,NA
"1567",1564,2010-03-13,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.cbs59.com/story.cfm?func=viewstory&storyid=76707","",5,"Medium",7.04356,6432,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",37.3042,-81.1194,NA,NA,NA,NA
"1568",1565,2010-03-13,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.nj.com/news/index.ssf/2010/03/rain_mostly_over_but_rising_pa.html","Below_road",1,"Medium",4.41013,9916,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",41.0428958,-74.62911456,NA,NA,NA,NA
"1569",1566,2010-03-13,"United States","landslide","Landslide","Downpour","",0,NA,"","http://wvgazette.com/Outdoors/Recreation/201003230724","",5,"Medium",6.25122,3572,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",38.3182,-80.7987,NA,NA,NA,NA
"1570",1567,2010-03-14,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.dglobe.com/event/article/id/33900/group/News/","",5,"Small",13.05284,6397,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",38.9632,-82.7353,NA,NA,NA,NA
"1571",1568,2010-03-14,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.salemnews.com/punews/local_story_074003455.html","",5,"Medium",1.03712,2717,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",42.6428,-70.939,NA,NA,NA,NA
"1572",1569,2010-03-14,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.nj.com/news/index.ssf/2010/03/rain_mostly_over_but_rising_pa.html","",1,"Medium",0.77081,2410,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",41.0752,-74.5894,NA,NA,NA,NA
"1573",1570,2010-03-14,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.thedailytimes.com/article/20100405/NEWS/304059983","Above_road",5,"Medium",23.26062,620,"US",NA,"Thu Jun 09 2016 14:54:59 GMT+0000 (UTC)",35.5001,-83.9442,NA,NA,NA,NA
"1574",1571,2010-03-15,"Madagascar","landslide","Complex","Tropical_Cyclone","Tropical Cyclone Hubert",8,NA,"","http://www.monstersandcritics.com/news/africa/news/article_1541043.php/Death-toll-in-Madagascar-s-tropical-storm-Hubert-rises-to-28","",NA,"Large",35.46494,27686,"MG","AF","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-21.1806,48.0043,NA,NA,NA,NA
"1575",1572,2010-03-15,"Georgia","landslide","Landslide","Downpour","",0,NA,"","http://www.messenger.com.ge/issues/2065_march_17_2010/2065_liana.html","",25,"Medium",0.61278,2408,"GE","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",42.5167,43.1667,NA,NA,NA,NA
"1576",1573,2010-03-15,"Georgia","landslide","Landslide","Downpour","",0,NA,"","http://www.messenger.com.ge/issues/2065_march_17_2010/2065_liana.html","",25,"Medium",1.24184,7423,"GE","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",41.8393,44.706,NA,NA,NA,NA
"1577",1574,2010-03-15,"Macedonia","landslide","Landslide","Downpour","",0,4,"Focus Information Agency","http://www.invest-in-macedonia.com/business-and-economy/traffic-and-transport/1268745960-passenger-train-locomotive-derailed-due-to-landslide-near-gostivar.html","Above_road",NA,"Medium",4.40741,3629,"MK","EU","Mon Jan 11 2016 14:58:57 GMT+0000 (UTC)",41.7396,20.9306,NA,NA,NA,NA
"1578",1575,2010-03-15,"United States","landslide","Mudslide","Rain","",0,NA,"","http://www.telegram.com/article/20100319/COULTER01/3190328/1189/coulter","",1,"Small",1.25138,7389,"US",NA,"Mon Sep 15 2014 18:44:55 GMT+0000 (UTC)",42.4135,-71.6974,NA,NA,NA,NA
"1579",1576,2010-03-15,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.wickedlocal.com/walpole/news/x427971816/Landslide-destroys-storage-building","",NA,"Small",2.73316,5918,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",42.1433,-71.2165,NA,NA,NA,NA
"1580",1577,2010-03-16,"Indonesia","landslide","Lahar","Rain","Volcanic Material",0,NA,"","http://www.thejakartapost.com/news/2010/03/18/mudslide-isolates-1500-residents-solok.html","",10,"Medium",9.46546,0,"ID","AS","Thu Sep 11 2014 19:38:19 GMT+0000 (UTC)",-0.9813,100.6669,NA,NA,NA,NA
"1581",1578,2010-03-16,"United States","landslide","Mudslide","Downpour","",0,NA,"Philly Burbs","http://www.phillyburbs.com/news/news_details/article/92/2010/march/18/mudslide-will-keep-river-road-closed-until-friday.html","Retaining_wall",1,"Small",6.71244,2528,"US",NA,"Tue Jan 12 2016 23:23:04 GMT+0000 (UTC)",40.4059,-75.0086,NA,NA,NA,NA
"1582",1579,2010-03-18,"United States","landslide","Landslide","Downpour","",0,NA,"Daily Times","http://www.thedailytimes.com/article/20100405/NEWS/304059983","Above_road",NA,"Small",11.83863,3944,"US",NA,"Wed Jan 13 2016 16:52:17 GMT+0000 (UTC)",35.6733,-83.6643,NA,NA,NA,NA
"1583",1580,2010-03-20,"Indonesia","landslide","Landslide","Downpour","",0,NA,"","http://www.antara.co.id/en/news/1269107739/another-landslide-buries-houses-in-cianjur","",5,"Medium",13.98369,77758,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-6.7234,107.1756,NA,NA,NA,NA
"1584",1581,2010-03-23,"Angola","landslide","Landslide","Downpour","",0,NA,"","http://www.portalangop.co.ao/motix/en_us/noticias/sociedade/2010/2/12/One-dead-after-Tuesday-dawn-heavy-rains-Luanda,d79d7232-2763-43fb-9c8e-26acf4d65aa2.html","Urban_area",1,"Medium",2.26512,2776168,"AO","AF","Fri Jan 08 2016 17:15:49 GMT+0000 (UTC)",-8.8176,13.2272,NA,NA,NA,NA
"1585",1582,2010-03-20,"Macedonia","landslide","Landslide","Downpour","",0,NA,"Focus Information Agency","http://www.focus-fen.net/index.php?id=n213827","Above_road",5,"Medium",2.31421,7313,"MK","EU","Mon Jan 11 2016 15:12:37 GMT+0000 (UTC)",42.0981,21.1342,NA,NA,NA,NA
"1586",1583,2010-03-21,"Fiji","landslide","Landslide","Rain","Collapsed retaining wall",0,NA,"","http://www.geotimes.ge/index.php?m=home&newsid=20775","",5,"Small",3.6282,77366,"FJ","OC","Fri Sep 12 2014 14:02:02 GMT+0000 (UTC)",-18.109,178.438,NA,NA,NA,NA
"1587",1584,2010-03-21,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.geotimes.ge/index.php?m=home&newsid=20770","",5,"Small",10.58008,1311,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",40.5399,-80.9,NA,NA,NA,NA
"1588",1585,2010-03-22,"Australia","landslide","Mudslide","Downpour","",0,NA,"West Australian","https://au.news.yahoo.com/thewest/wa/a/6967140/residents-flee-as-landslide-hits-home/","Urban_area",NA,"Medium",0.84684,3806,"AU","OC","Tue Jul 12 2016 18:24:00 GMT+0000 (UTC)",-31.9554,115.8468,NA,NA,NA,NA
"1589",1586,2010-03-22,"Indonesia","landslide","Mudslide","Rain","Volcanic Material",0,NA,"","http://www.laht.com/article.asp?ArticleId=353654&CategoryId=14919","",10,"Medium",5.11756,0,"ID","AS","Mon Sep 15 2014 18:08:59 GMT+0000 (UTC)",-0.2613,100.7616,NA,NA,NA,NA
"1590",1587,2010-03-22,"New Zealand","landslide","Landslide","Downpour","",0,NA,"","http://www.croatiantimes.com/news/General_News/2010-03-12/9554/Couple_injured_in_landslide","",5,"Medium",48.13411,10442,"NZ","OC","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-44.8454,168.1112,NA,NA,NA,NA
"1591",1588,2010-03-22,"Russia","landslide","Landslide","Downpour","",0,NA,"","http://stormcarib.com/reports/current/report.php?id=1268397271_8827","",5,"Medium",25.09764,2934,"RU","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",42.6285,44.0874,NA,NA,NA,NA
"1592",1589,2010-03-25,"Indonesia","landslide","Landslide","Downpour","",1,NA,"","http://www.antara.co.id/en/news/1268336077/deadly-landslide-hits-w-javas-cianjur","",50,"Medium",14.50432,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-0.6409,100.4419,NA,NA,NA,NA
"1593",1590,2010-03-25,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.thepittsburghchannel.com/allegheny/22812683/detail.html","",5,"Small",2.77757,20254,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",47.9567,-122.2721,NA,NA,NA,NA
"1594",1591,2010-03-25,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.thepittsburghchannel.com/allegheny/22812683/detail.html","",1,"Medium",22.45613,2264,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",34.0844,-87.104,NA,NA,NA,NA
"1595",1592,2010-03-26,"Australia","landslide","Mudslide","Downpour","",0,NA,"","http://www.startribune.com/local/87416017.html?elr=KArksi8cyaiUHK:uUiD3aPc:_Yyc:aU7DYaGEP7vDEh7P:DiUs","",5,"Medium",1.80649,6069,"AU","OC","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-16.889,145.6841,NA,NA,NA,NA
"1596",1593,2010-03-26,"Rwanda","landslide","Mudslide","Downpour","",14,NA,"","http://www.seattlepi.com/local/6420ap_wa_railroad_mudslide_edmonds.html","",50,"Large",12.77276,83623,"RW","AF","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-1.6985,29.3711,NA,NA,NA,NA
"1597",1594,2010-03-26,"Peru","landslide","Landslide","Downpour","",5,NA,"","http://en.rian.ru/natural/20100313/158182544.html","",NA,"Medium",8.83601,0,"PE","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-14.1232,-70.1217,NA,NA,NA,NA
"1598",1595,2010-03-26,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.kcby.com/news/local/87512322.html","",10,"Small",7.59235,1113,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",42.5435,-74.8163,NA,NA,NA,NA
"1599",1596,2010-03-27,"India","landslide","Mudslide","Downpour","",0,NA,"","http://www.accuweather.com/blogs/news/story/26113/midatlantic-flooding-turns-dea.asp","",5,"Medium",8.69174,223523,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",24.7339,93.9161,NA,NA,NA,NA
"1600",1597,2010-03-27,"United Kingdom","landslide","Landslide","Downpour","",0,NA,"","http://www.gazettetimes.com/news/local/article_85f1bb86-2db0-11df-a900-001cc4c002e0.html","",NA,"Small",0.31085,49886,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",50.4374,-3.5713,NA,NA,NA,NA
"1601",1598,2010-03-27,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.antara.co.id/en/news/1268568221/one-killed-in-w-sumatra-lembah-anai-landslide","",25,"Medium",17.58609,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-3.6945,102.4206,NA,NA,NA,NA
"1602",1599,2010-03-29,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.cbs59.com/story.cfm?func=viewstory&storyid=76707","",1,"Small",14.56419,3944,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",35.6024,-83.426,NA,NA,NA,NA
"1603",1600,2010-03-30,"Indonesia","landslide","Mudslide","Downpour","",0,NA,"","http://www.nj.com/news/index.ssf/2010/03/rain_mostly_over_but_rising_pa.html","",10,"Medium",7.99848,0,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-0.4834,100.3387,NA,NA,NA,NA
"1604",1601,2010-03-30,"United States","landslide","Landslide","Rain","",0,NA,"","http://wvgazette.com/Outdoors/Recreation/201003230724","",1,"Small",1.40994,47648,"US",NA,"Fri Sep 12 2014 19:24:12 GMT+0000 (UTC)",41.5663,-72.6667,NA,NA,NA,NA
"1605",1602,2010-03-30,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.dglobe.com/event/article/id/33900/group/News/","",5,"Small",0.94386,7612,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",40.9647,-72.9684,NA,NA,NA,NA
"1606",1603,2010-03-30,"United States","landslide","Mudslide","Downpour","",0,NA,"","http://www.salemnews.com/punews/local_story_074003455.html","",1,"Small",3.28687,195976,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",40.904,-73.9141,NA,NA,NA,NA
"1607",1604,2010-03-30,"United States","landslide","Mudslide","Rain","",0,NA,"Gazette","http://www.thegazette.com/2010/03/31/mudslide-closes-train-tracks-near-fort-madison-prison","Above_road",5,"Medium",2.69877,11051,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",40.63499096,-91.28401244,NA,NA,NA,NA
"1608",1605,2010-03-14,"United States","landslide","Landslide","Rain","",0,NA,"Daily Times","http://www.thedailytimes.com/article/20100405/NEWS/304059983","Above_road",5,"Small",2.69877,11051,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",40.635,-91.284,NA,NA,NA,NA
"1609",1606,2010-03-30,"United States","landslide","Landslide","Downpour","",0,NA,"","http://www.messenger.com.ge/issues/2065_march_17_2010/2065_liana.html","",1,"Small",0.76489,7794,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",44.5407,-69.625,NA,NA,NA,NA
"1610",1607,2010-03-31,"United Kingdom","landslide","Landslide","Downpour","",0,NA,"","http://www.messenger.com.ge/issues/2065_march_17_2010/2065_liana.html","",25,"Small",8.1634,3395,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",55.893,-2.2147,NA,NA,NA,NA
