"","id","date","country","hazard_type","hazard_subtype","trigger","trigger_name","fatalities","injuries","source_name","source_link","location_description","location_accuracy","hazard_size","distance","population.dis","countrycode","continentcode","tstamp","latitude.dis","longitude.dis","magnitude","tsunami_ind","damage_range","houses_damaged","city_name","latitude.cit","longitude.cit","feature_class","feature_code","population.cit","elevation","average_elevation","timezone","X","X.1","distance_between"
"2679748",2170,2010-07-29,"Pakistan","landslide","Landslide","Downpour","",0,NA,"","","",25,"Medium",27.92364,2005,"PK","AS","Thu Sep 11 2014 17:44:36 GMT+0000 (UTC)",36.5011,74.8899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2679749",2171,2010-07-29,"Pakistan","landslide","Landslide","Downpour","",0,NA,"","","",5,"Medium",1.41352,0,"PK","AS","Thu Sep 11 2014 17:43:26 GMT+0000 (UTC)",35.3526,74.8683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2679750",2172,2010-07-29,"Pakistan","landslide","Landslide","Downpour","",0,NA,"","","",25,"Medium",7.76752,2100,"PK","AS","Mon Sep 15 2014 19:03:59 GMT+0000 (UTC)",35.3585,75.6355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2679751",2173,2010-07-29,"Pakistan","landslide","Landslide","Rain","",17,NA,"","","",25,"Large",12.05629,0,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",35.0111,72.7056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2679752",2174,2010-07-30,"Costa Rica","landslide","Landslide","Rain","",0,NA,"La Fortuna","https://lafortunatimes.wordpress.com/2010/07/30/landslide-caused-closure-of-san-jose-caldera-for-most-of-the-day-friday/","Above_road",NA,"Medium",4.24199,14448,"CR",NA,"Sun Feb 22 2015 23:24:32 GMT+0000 (UTC)",9.9271,-84.4568,NA,NA,NA,NA,"Desamparados",9.94727,-84.50626,"P","PPL",14448,NA,281,"America/Costa_Rica","","",303.201291411748
"2679883",2175,2010-07-30,"Colombia","landslide","Mudslide","Downpour","",0,NA,"","","",50,"Medium",51.84125,88311,"CO","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",11.0029,-73.7733,NA,NA,NA,NA,"La Calera",4.72069,-73.96926,"P","PPL",10175,NA,2690,"America/Bogota","","",11.536387192177
"2680816",2176,2010-07-30,"India","landslide","Landslide","Rain","",0,NA,"","","",5,"Medium",19.34853,23384,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",15.9517,73.9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680817",2177,2010-07-30,"India","landslide","Landslide","Downpour","",0,NA,"","","",5,"Medium",16.27872,23384,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",15.949,73.9667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680818",2178,2010-07-30,"Pakistan","landslide","Landslide","Downpour","",49,NA,"","","",10,"Large",18.05938,0,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",35.049,72.7541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680819",2179,2010-07-31,"United States","landslide","Mudslide","Rain","",0,NA,"","","",5,"Medium",23.83031,6427,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",39.1883,-107.2341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680820",2180,2010-07-31,"India","landslide","Landslide","Downpour","",0,NA,"","","",5,"Medium",6.02638,417387,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",12.8715,74.8862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680821",2181,2010-07-31,"India","landslide","Landslide","Downpour","",0,0,"Times of India","http://timesofindia.indiatimes.com/city/mumbai/Heavy-rains-cause-landslide-in-suburban-Mumbai/articleshow/6241961.cms","Urban_area",NA,"Medium",2.15021,20000,"IN","AS","Wed Jan 06 2016 21:12:06 GMT+0000 (UTC)",19.1287,72.8889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680822",2182,2010-07-31,"India","landslide","Landslide","Rain","",0,NA,"","","",25,"Medium",17.36482,223523,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",24.9356,93.8443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680823",2183,2010-07-31,"India","landslide","Landslide","Downpour","",0,NA,"","http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL","Deforested_slope",10,"Medium",4.11262,2467,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",31.0655,77.1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680824",2184,2010-07-31,"Japan","landslide","Mudslide","Downpour","",0,NA,"","","",5,"Medium",27.39654,51721,"JP","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",39.8403,141.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680825",2185,2010-08-01,"United States","landslide","Mudslide","Downpour","",0,NA,"","","",5,"Medium",20.97634,2602,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",39.068,-106.3538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680826",2186,2010-08-01,"United States","landslide","Mudslide","Rain","",0,NA,"","","",5,"Small",13.47828,1344,"US",NA,"Mon Sep 15 2014 17:24:07 GMT+0000 (UTC)",39.9243,-111.5443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680827",2187,2010-08-01,"Nepal","landslide","Landslide","Downpour","",0,NA,"","","",10,"Medium",14.33834,2860,"NP","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",28.54,83.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680828",2188,2010-08-01,"Pakistan","landslide","Landslide","Downpour","",0,NA,"","","",25,"Medium",16.24383,10414,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",36.0636,74.2869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680829",2189,2010-08-02,"Trinidad and Tobago","landslide","Mudslide","Downpour","",0,NA,"","","",5,"Medium",4.33904,8140,"TT",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",10.7137,-61.5705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680830",2190,2010-08-02,"Thailand","landslide","Mudslide","Downpour","",0,NA,"","","",10,"Medium",6.50753,2346,"TH","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",11.9773,102.3183,NA,NA,NA,NA,"Ko Chang Tai",12.00171,102.37267,"P","PPLA3",2346,NA,5,"Asia/Bangkok","","",329.340427344235
"2681804",2191,2010-08-02,"Mexico","landslide","Mudslide","Construction","",2,NA,"","","",15,"Medium",0.15208,12294193,"MX",NA,"Fri Sep 12 2014 14:03:57 GMT+0000 (UTC)",19.427,-99.1276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2681805",2192,2010-08-02,"Nepal","landslide","Mudslide","Downpour","",6,NA,"","http://www.monstersandcritics.com/news/southasia/news/article_1575057.php/Six-die-in-Nepal-landslides-scores-displaced","",50,"Medium",32.81897,1600,"NP","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",27.6661,86.0332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2681806",2193,2010-08-03,"Trinidad and Tobago","landslide","Landslide","Downpour","",0,NA,"","","",5,"Small",6.95807,8140,"TT",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",10.7163,-61.4719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2681807",2194,2010-08-03,"Colombia","landslide","Complex","Downpour","",4,NA,"","","",5,"Medium",7.85369,2080,"CO","SA","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",8.4418,-73.2665,NA,NA,NA,NA,"Mutata",7.24407,-76.43564,"P","PPL",4811,NA,132,"America/Bogota","","",172.036595982036
"2682740",2195,2010-08-03,"China","landslide","Complex","Downpour","",7,NA,"","","",5,"Medium",7.73986,0,"CN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",32.8091,110.1125,NA,NA,NA,NA,"Zongying",33.15794,106.98042,"P","PPLA4",0,NA,537,"Asia/Shanghai","","",42.143825042976
"2697552",2196,2010-08-03,"Nepal","landslide","Mudslide","Downpour","",4,NA,"","","",5,"Medium",12.91655,2e+05,"NP","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",28.2598,84.0999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697553",2197,2010-08-04,"United States","landslide","Mudslide","Rain","",0,NA,"Sky Valley Chronicle News","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjP_OD236fKAhWCNT4KHchlDQcQFggdMAA&url=http%3A%2F%2Fwww.skyvalleychronicle.com%2F%3Ft%3Dnews_article_list%26nhr17599%3D20%26nhc17599%3D780%26ncid%3D4%26nalr%3D5%26nalc%3D11510&usg=AFQjCNGqz5Eyf5abPzWBprO__15RpiyiOQ&sig2=HxtT6OpWgUZSY4rY2GLIPw","Burned_area",1,"Medium",1.8086,1112,"US",NA,"Wed Jan 13 2016 21:42:13 GMT+0000 (UTC)",47.6736,-120.2304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697554",2198,2010-08-04,"India","landslide","Landslide","Downpour","",0,NA,"","http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL","",10,"Medium",41.90996,14182,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",32.7571,77.4138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697555",2199,2010-08-05,"Trinidad and Tobago","landslide","Landslide","Downpour","",0,NA,"","","",5,"Small",7.24469,4342,"TT",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",10.6857,-61.5989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697556",2200,2010-08-05,"United States","landslide","Debris_Flow","Downpour","",0,NA,"","","",5,"Small",52.25966,2868,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",48.2719,-120.6228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697557",2201,2010-08-05,"India","landslide","Landslide","Downpour","",0,NA,"","","",5,"Medium",0.51321,123797,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",27.0366,88.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697558",2202,2010-08-05,"India","landslide","Landslide","Downpour","",5,NA,"","","",25,"Medium",9.41328,2000,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",30.4068,79.3351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697559",2203,2010-08-05,"Pakistan","landslide","Landslide","Downpour","",0,NA,"","","",10,"Medium",32.04254,10414,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",36.1788,74.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697560",2204,2010-08-06,"Trinidad and Tobago","landslide","Landslide","Downpour","",1,NA,"","","",5,"Medium",7.37181,157258,"TT",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",10.6933,-61.4484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697561",2205,2010-08-06,"India","landslide","Landslide","Downpour","",0,NA,"","http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL","",1,"Medium",0.90276,265331,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",23.7365,92.7146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697562",2206,2010-08-06,"India","landslide","Landslide","Downpour","",234,NA,"","","",50,"Very_large",9.30807,37475,"IN","AS","Thu Sep 11 2014 17:42:30 GMT+0000 (UTC)",34.1416,77.4871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697563",2207,2010-08-06,"India","landslide","Landslide","Downpour","",11,NA,"","","",5,"Large",6.70396,37475,"IN","AS","Thu Sep 11 2014 17:40:27 GMT+0000 (UTC)",34.1481,77.6538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697564",2208,2010-08-06,"India","landslide","Landslide","Downpour","",182,NA,"","","",5,"Large",22.1454,37475,"IN","AS","Mon Sep 15 2014 19:29:46 GMT+0000 (UTC)",34.2116,77.3504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697565",2209,2010-08-06,"India","landslide","Landslide","Downpour","",0,NA,"","","",5,"Large",8.31461,37475,"IN","AS","Tue Sep 16 2014 14:04:42 GMT+0000 (UTC)",34.208,77.5101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697566",2210,2010-08-06,"India","landslide","Landslide","Downpour","",0,NA,"","","",5,"Large",2.89938,37475,"IN","AS","Thu Sep 11 2014 17:37:18 GMT+0000 (UTC)",34.1619,77.5528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697567",2211,2010-08-06,"India","landslide","Landslide","Downpour","",0,NA,"","","",5,"Large",28.41985,37475,"IN","AS","Mon Sep 15 2014 14:41:45 GMT+0000 (UTC)",34.3061,77.3265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697568",2212,2010-08-06,"India","landslide","Landslide","Downpour","",0,NA,"","","",5,"Large",2.22404,37475,"IN","AS","Thu Sep 11 2014 17:35:54 GMT+0000 (UTC)",34.1482,77.5971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697569",2213,2010-08-06,"India","landslide","Mudslide","Downpour","",0,NA,"","","",5,"Very_large",5.95852,37475,"IN","AS","Thu Sep 11 2014 17:34:56 GMT+0000 (UTC)",34.1114,77.5874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697570",2214,2010-08-06,"India","landslide","Landslide","Downpour","",0,NA,"","","",15,"Medium",0.60669,123797,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",27.0375,88.2627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697571",2215,2010-08-06,"India","landslide","Landslide","Downpour","",0,NA,"","","",25,"Medium",14.30557,8341,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",32.371,77.2468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697572",2216,2010-08-06,"Pakistan","landslide","Landslide","Downpour","",0,NA,"","","",5,"Medium",41.15433,2005,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",36.6567,74.8609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697573",2217,2010-08-07,"Honduras","landslide","Mudslide","Downpour","",3,NA,"","","",5,"Medium",2.21442,850848,"HN",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",14.0783,-87.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2697574",2218,2010-08-07,"China","landslide","Landslide","Downpour","",1765,NA,"","","",5,"Very_large",0.81085,0,"CN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.7848,104.3715,NA,NA,NA,NA,"Zhouqu Chengguanzhen",33.78417,104.36278,"P","PPLA3",0,NA,1326,"Asia/Shanghai","","",39.9680690784509
"2712386",2219,2010-08-07,"Pakistan","landslide","Landslide","Downpour","",45,NA,"","","",10,"Large",30.38622,2100,"PK","AS","Thu Sep 11 2014 17:30:43 GMT+0000 (UTC)",35.0148,75.6213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2712387",2220,2010-08-07,"Pakistan","landslide","Landslide","Downpour","",13,NA,"","","",25,"Medium",10.20758,0,"PK","AS","Thu Sep 11 2014 17:28:51 GMT+0000 (UTC)",35.2169,76.4243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2712388",2221,2010-08-08,"United States","landslide","Mudslide","Flooding","",0,NA,"","","",5,"Small",2.21977,855,"US",NA,"Thu Jun 25 2015 19:03:03 GMT+0000 (UTC)",39.5567,-119.2269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2712389",2222,2010-08-08,"Pakistan","landslide","Landslide","Rain","",NA,NA,"","","",NA,"Medium",32.90326,29331,"PK","AS","Mon Sep 15 2014 16:37:11 GMT+0000 (UTC)",35.2227,72.4258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2712390",2223,2010-08-09,"Sierra Leone","landslide","Mudslide","Downpour","",16,NA,"","","",1,"Large",0.74528,802639,"SL","AF","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",8.4806,-13.2241,NA,NA,NA,NA,"Freetown",8.484,-13.22994,"P","PPLC",802639,NA,49,"Africa/Freetown","","",30.7812884559339
"2712474",2224,2010-08-09,"United States","landslide","Mudslide","Downpour","",0,NA,"","","",1,"Small",0.92861,25023,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",41.0266,-92.4181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2712475",2225,2010-08-09,"China","landslide","Landslide","Downpour","",5,NA,"","","",50,"Medium",0.64406,0,"CN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",35.2059,107.7984,NA,NA,NA,NA,"Zhaoren",35.20667,107.79139,"P","PPLA3",0,NA,1196,"Asia/Shanghai","","",35.9235018284557
"2727287",2226,2010-08-09,"India","landslide","Landslide","Downpour","",1,NA,"","","",5,"Medium",2.31704,20553,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.334,75.7627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727288",2227,2010-08-09,"India","landslide","Landslide","Downpour","",0,NA,"","http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL","",50,"Medium",10.60095,13865,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",30.6463,79.5306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727289",2228,2010-08-09,"India","landslide","Landslide","Downpour","",0,NA,"","http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL","",25,"Medium",10.80999,17123,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",30.6785,78.3475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727290",2229,2010-08-09,"India","landslide","Landslide","Downpour","",0,NA,"","http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL","",50,"Medium",17.46994,27611,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",30.5151,78.3684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727291",2230,2010-08-10,"United States","landslide","Mudslide","Rain","",0,NA,"","","",1,"Small",13.35752,8227,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",46.6637,-111.7619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727292",2231,2010-08-10,"Nepal","landslide","Landslide","Downpour","",7,NA,"","","Burned_area",NA,"Medium",47.58866,0,"NP","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",29.4469,81.4867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727293",2232,2010-08-11,"Uganda","landslide","Landslide","Downpour","",1,NA,"","","",15,"Medium",4.25008,0,"UG","AF","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",1.0059,34.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727294",2233,2010-08-11,"Jamaica","landslide","Complex","Downpour","",0,NA,"","","",10,"Medium",5.98731,8551,"JM",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",18.126,-76.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727295",2234,2010-08-11,"India","landslide","Landslide","Downpour","",0,NA,"","","",10,"Medium",0.18345,19831,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",31.958,77.1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727296",2235,2010-08-11,"Pakistan","landslide","Landslide","Downpour","",40,NA,"","","",50,"Large",12.6827,0,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",35.3599,73.9791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727297",2236,2010-08-12,"China","landslide","Landslide","Downpour","",10,NA,"","","",50,"Medium",3.57515,0,"CN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.4008,104.9221,NA,NA,NA,NA,"Yanhe",45.11586,126.91975,"P","PPLA4",0,NA,161,"Asia/Shanghai","","",148.516448947107
"2742109",2237,2010-08-12,"China","landslide","Landslide","Downpour","",9,NA,"","","",10,"Medium",22.91438,0,"CN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",31.5423,104.1298,NA,NA,NA,NA,"Wangcao",28.11711,107.26672,"P","PPLA4",0,NA,695,"Asia/Shanghai","","",198.744988628126
"2756921",2238,2010-08-12,"China","landslide","Mudslide","Downpour","",14,NA,"AP Archive","http://www.aparchive.com/metadata/youtube/bbdf7d0634078b05c301566029850e17","Unknown",NA,"Medium",0.21523,0,"CN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",34.62798026,105.7402908,NA,NA,NA,NA,"Shashi",31.33603,108.88384,"P","PPLA4",0,NA,255,"Asia/Shanghai","","",61.3849923831438
"2771733",2239,2010-08-13,"Uganda","landslide","Complex","Downpour","",0,NA,"","","",25,"Medium",10.48232,0,"UG","AF","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",1.3337,34.5789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2771734",2240,2010-08-13,"China","landslide","Landslide","Downpour","",1,NA,"","","",5,"Medium",9.24413,0,"CN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",31.0539,103.5461,NA,NA,NA,NA,"Buliu",37.33689,122.43069,"P","PPLA4",0,NA,47,"Asia/Shanghai","","",208.729025333979
"2786546",2241,2010-08-13,"India","landslide","Landslide","Downpour","",NA,NA,"Unknown","","Above_road",5,"Medium",19.4259,17123,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",30.80200029,78.61786282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2786547",2242,2010-08-13,"India","landslide","Landslide","Rain","",0,NA,"","","",5,"Medium",3.2837,8609,"IN","AS","Thu Sep 11 2014 17:25:50 GMT+0000 (UTC)",30.8522,76.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2786548",2243,2010-08-13,"India","landslide","Landslide","Downpour","",0,NA,"E-PAO","http://e-pao.net/GP.asp?src=21..210810.aug10","Mine_construction",5,"Medium",5.6985,92113,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",25.70223725,94.04619681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2786549",2244,2010-08-14,"Uganda","landslide","Landslide","Downpour","",5,NA,"","","",10,"Medium",2.85447,0,"UG","AF","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",1.0195,34.3554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2786550",2245,2010-08-14,"China","landslide","Landslide","Downpour","",15,NA,"","","",5,"Medium",13.25355,0,"CN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",31.0176,103.4846,NA,NA,NA,NA,"Quchi",31.03628,109.74886,"P","PPLA4",0,NA,190,"Asia/Shanghai","","",163.12488522423
"2801362",2246,2010-08-14,"India","landslide","Landslide","Downpour","",2,NA,"","","",5,"Medium",1.48396,40283,"IN","AS","Mon Sep 15 2014 17:23:13 GMT+0000 (UTC)",30.9012,77.0958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2801363",2247,2010-08-14,"India","landslide","Landslide","Downpour","",0,NA,"","","",10,"Medium",13.31188,33748,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",26.148,94.8422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2801364",2248,2010-08-14,"India","landslide","Landslide","Downpour","",0,NA,"","","",15,"Medium",10.37545,33748,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",26.222,94.9152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2801365",2249,2010-08-14,"India","landslide","Landslide","Downpour","",0,NA,"","","",25,"Medium",20.67617,33748,"IN","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",26.0814,94.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2801366",2250,2010-08-14,"Pakistan","landslide","Landslide","Downpour","",0,NA,"","","",50,"Medium",8.5863,1743101,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.623,72.9793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2801367",2251,2010-08-15,"Philippines","landslide","Complex","Downpour","",0,NA,"","","",15,"Medium",3.40094,0,"PH","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",16.9752,120.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
